Дата,Номер документа,Дебет,Кредит,Контрагент (имя),Контрагент ИИН/БИН,Детали платежа,КНП
26.06.2024,2380,,28000.0,Qut-Bereke Qurylys 130140022456,130140022456,"Референс 3167728560 Оплата по счету № 215 от 21.06.2024г. Платежи за товары, за исключением недвижимости и товаров с кодами назначения платежей 711, 712 и 713,",
26.06.2024,1432,,36000.0,Step Park KZ Степ КЗ 171240004838,171240004838,"Референс 3167567986 C-но Счет на оплату №223 от 25.06.24 Платежи за профессиональные, научные и технические услуги,",
26.06.2024,158,,55000.0,"Товарищество с ограниченной ответственностью ""Минеральная во 140840007925",140840007925,"Референс 3167526755 Углекислый газ 10 шт счет № 225 от 26 июня 2024года.. Платежи за товары, за исключением недвижимости и товаров с кодами назначения платежей 711, 712 и 713",
25.06.2024,24012011,,234000.0,"""ОҢТҮСТІК- ҚҰРЫЛЫС-СЕРВИС"" 010340004024",010340004024,Референс 3166973205 Согласно счета № 210 от 18.06.2024г. За углекислый газ (36шт) в цех МК,
25.06.2024,241,,7500.0,"Товарищество с ограниченной ответственностью ""Адамет 220540015269",220540015269,"Референс 3166753511 Платежи по лизинг. Оплата за аренду углекислотных баллонов, согласно счета № 224 от 25.06.2024г. Сумма 7 500-00 тенге без НДС",
25.06.2024,003111710703,900.0,,Шымкентский городской Народного Банка Казахстана 940141000043,940141000043,"Референс 3166128571 За операцию. Абонентская плата за OnlineBank Ежем.комис.за обслуж.электр.клиен. с исп.системы Onlinebank. Без НДС, за контракт 566996, 06/2024",
21.06.2024,003108881690,950.0,,Шымкентский городской Народного Банка Казахстана 940141000043,940141000043,"Референс 3163423304 Комиссия за операцию ""Простой перевод обычной срочности"" согласно тарифам банкаРасчетный документ № 35 от 21.06.24 на сумму 1 500 000.00 KZT. НДС не облагается.",
21.06.2024,35,1500000.0,,"""Tian Shan Brands"" 151140025922",151140025922,"Референс 3163423200 за Углекислый газ. (в том числе НДС = 160714.29) Платежи за товары, за исключением недвижимости и товаров с кодами назначения платежей 711, 712 и 713,",
21.06.2024,475,,6000.0,"Товарищество с ограниченной ответственностью ""АРТ Технология 130640013653",130640013653,Референс 3163302922 За товар. Перечисляется согласно счет на оплату №216 от 21.06.2024г материалы.Сумма 6 000-00 тенге в т.ч. НДС(12%) 642-86 тенге,
20.06.2024,189,,78000.0,"""МАФ ПАРК.КЗ"" 231040021676",231040021676,Референс 3162114824 За товар. Согласно счет на оплату №211 от 17.06.2024 года (углекислый газ) 1,
20.06.2024,226,,24000.0,"Товарищество с ограниченной ответственностью ""Адамет 220540015269",220540015269,"Референс 3161958547 За товар. Оплата за углекислый газ, согласно счета № 214 от 20.06.2024г. Сумма 24 000-00 тенге без НДС",
20.06.2024,003106985210,345.0,,Шымкентский городской Народного Банка Казахстана 940141000043,940141000043,"Референс 3161921211 Комиссия за операцию ""Простой перевод обычной срочности"" согласно тарифам банкаРасчетный документ № 34 от 20.06.24 на сумму 230 000.00 KZT. НДС не облагается.",
20.06.2024,34,230000.0,,"""Азия Сварной"" 190840002804",190840002804,"Референс 3161921181 Счет на оплату №757 от 20.06.2024 Вентиль кислородный ВК-1 (в том числе НДС = 24642.86) Платежи за товары, за исключением недвижимости и товаров с кодами назначения платежей 711, 712 и 713,",
