page,date,amount,operation,details,clock_icon,amount_text,КНП,ip_text,ip_knp_norm,ip_op_date,ip_is_non_business_by_knp,ip_is_non_business_by_keywords,ip_is_non_business,ip_credit_amount,ip_is_business_income
0,28.08.25,50000.0,Пополнение,Арман И.,False,"+ 50 000,00 ₸",,Пополнение Арман И.,,2025-08-28,False,False,False,50000.0,True
0,28.08.25,50000.0,Пополнение,Акжаркын У.,False,"+ 50 000,00 ₸",,Пополнение Акжаркын У.,,2025-08-28,False,False,False,50000.0,True
0,28.08.25,50000.0,Пополнение,Акмарал К.,False,"+ 50 000,00 ₸",,Пополнение Акмарал К.,,2025-08-28,False,False,False,50000.0,True
0,28.08.25,50000.0,Пополнение,Нурсулу К.,False,"+ 50 000,00 ₸",,Пополнение Нурсулу К.,,2025-08-28,False,False,False,50000.0,True
0,27.08.25,-100000.0,Перевод,Алтынай Қ.,False,"- 100 000,00 ₸",,Перевод Алтынай Қ.,,2025-08-27,False,False,False,-100000.0,False
0,27.08.25,153000.0,Пополнение,Со своего Счета в Kaspi Pay,False,"+ 153 000,00 ₸",,Пополнение Со своего Счета в Kaspi Pay,,2025-08-27,False,False,False,153000.0,True
0,26.08.25,-1020.0,Покупка,ИП Темирова,False,"- 1 020,00 ₸",,Покупка ИП Темирова,,2025-08-26,False,False,False,-1020.0,False
0,26.08.25,-60.0,Покупка,ИП КОЙБАКОВА,False,"- 60,00 ₸",,Покупка ИП КОЙБАКОВА,,2025-08-26,False,False,False,-60.0,False
0,25.08.25,-1300.0,Покупка,ИП АлиНвр,False,"- 1 300,00 ₸",,Покупка ИП АлиНвр,,2025-08-25,False,False,False,-1300.0,False
0,25.08.25,-12000.0,Перевод,Алтынай Қ.,False,"- 12 000,00 ₸",,Перевод Алтынай Қ.,,2025-08-25,False,False,False,-12000.0,False
0,25.08.25,-1020.0,Покупка,ИП Темирова,False,"- 1 020,00 ₸",,Покупка ИП Темирова,,2025-08-25,False,False,False,-1020.0,False
0,23.08.25,-1030.0,Покупка,Альтаир,False,"- 1 030,00 ₸",,Покупка Альтаир,,2025-08-23,False,False,False,-1030.0,False
0,23.08.25,-2980.0,Покупка,Регион,False,"- 2 980,00 ₸",,Покупка Регион,,2025-08-23,False,False,False,-2980.0,False
0,23.08.25,-4000.0,Покупка,Баня,False,"- 4 000,00 ₸",,Покупка Баня,,2025-08-23,False,False,False,-4000.0,False
0,23.08.25,-20000.0,Перевод,Ерболат И.,False,"- 20 000,00 ₸",,Перевод Ерболат И.,,2025-08-23,False,False,False,-20000.0,False
