Дата,Номер документа,Дебет,Кредит,Контрагент (имя),Контрагент ИИН/БИН,Детали платежа,КНП
25.06.2024,003112578569,500.0,,Актюбинский Областной Народного Банка Казахстана 961141000023,961141000023,"Референс 3166749661 Комиссия за операцию ""Выдача наличных денег"" согласно тарифам банкаКассовый документ № 2 от 25.06.24 на сумму 40 000.00 KZT. НДС не облагается.",
25.06.2024,2,40000.0,,Актюбинский ОФ 961141000023,961141000023,Референс 3166749623 ВЫДАЧА НА ОПЛАТУ ТОВАРОВ И УСЛУГ,
21.06.2024,2187,,400000.0,ANTARIUM GROUP 970340004013,970340004013,Референс 3163661294 Прочие платежи по транспортным услугам. Оплата за услуги самосвала по сч/о №6 от 02.05.2024г. Сумма 400 000-00 тенге без НДС,
20.06.2024,003107690100,500.0,,Актюбинский Областной Народного Банка Казахстана 961141000023,961141000023,"Референс 3162405304 Комиссия за операцию ""Выдача наличных денег"" согласно тарифам банкаКассовый документ № 3 от 20.06.24 на сумму 35 000.00 KZT. НДС не облагается.",
20.06.2024,3,35000.0,,Актюбинский ОФ 961141000023,961141000023,Референс 3162405299 ВЫДАЧА НА ОПЛАТУ ТОВАРОВ И УСЛУГ,
19.06.2024,138539782,,1800000.0,"Государственное учреждение ""Аппарат Журынского сельско 931240000895",931240000895,"Референс 3161149585 СФ# 1240812/24-199 за 18.06.2024 ЗП# 7461863 Ст.- Текущий.Перечисляется очистка от снега и содержание внутренних и внешних автомобильных дорог поселка Журын, за июнь месяц 2024г,договор №1 от 30.01.2024г,ESF-770701302393-20240613- 85624742 от 13.06.2024г,увед№7461863 от",
14.06.2024,003101944598,500.0,,Актюбинский Областной Народного Банка Казахстана 961141000023,961141000023,"Референс 3157207646 Комиссия за операцию ""Выдача наличных денег"" согласно тарифам банкаКассовый документ № 1 от 14.06.24 на сумму 50 000.00 KZT. НДС не облагается.",
14.06.2024,1,50000.0,,Актюбинский ОФ 961141000023,961141000023,Референс 3157207618 ВЫДАЧА НА ОПЛАТУ ТОВАРОВ И УСЛУГ,
11.06.2024,003097423304,1600.0,,Актюбинский Областной Народного Банка Казахстана 961141000023,961141000023,"Референс 3153439867 Комиссия за операцию ""Выдача наличных денег"" согласно тарифам банкаКассовый документ № 1 от 11.06.24 на сумму 320 000.00 KZT. НДС не облагается.",
11.06.2024,1,320000.0,,Актюбинский ОФ 961141000023,961141000023,Референс 3153439821 ВЫДАЧА НА ОПЛАТУ ТОВАРОВ И УСЛУГ,
04.06.2024,003090009719,500.0,,Актюбинский Областной Народного Банка Казахстана 961141000023,961141000023,"Референс 3146756538 Комиссия за операцию ""Выдача наличных денег"" согласно тарифам банкаКассовый документ № 1 от 04.06.24 на сумму 70 000.00 KZT. НДС не облагается.",
04.06.2024,1,70000.0,,Актюбинский ОФ 961141000023,961141000023,Референс 3146756523 ВЫДАЧА НА ОПЛАТУ ТОВАРОВ И УСЛУГ 1,
